Variable,Variable_class,Measurement_information,Extra_notes
version,numeric,,
timestamp,date:time,,
block number,numeric,,
trial number,character,,
lost msec,numeric,,
free VRAM,numeric,,
trial contents,blank,,
int_0.5,numeric,,
int_0.75,numeric,,
int_1.0,numeric,,
int_1.25,numeric,,
int_1.50,numeric,,
int_1.75,numeric,,
int_2.0,numeric,,
int_2.25,numeric,,
int_2.50,numeric,,
int_2.75,numeric,,
int_3.0,numeric,,
int_3.25,numeric,,
int_3.50,numeric,,
int_3.75,numeric,,
int_4.0,numeric,,
int_4.25,numeric,,
int_4.5,numeric,,
eval_SPARS_prop,numeric,,
eval_CNRS_P_prop,numeric,,
eval_NRS_NP_prop,numeric,,
Partic,numeric,,
Block,blank,,
Intensity,numeric,,
Scale,character,,
Rating_given_SPARS,numeric,,
Rating_given_P,numeric,,
Rating_given_NP,numeric,,
RT_SPARS,numeric,,
RT_P,numeric,,
RT_NP,numeric,,
ITI,numeric,,
TTL_fired,numeric,,
